Province/State,Country/Region,Confirmed,Timestamp
,Vietnam,2,2020-01-24 17:00:00
,France,2,2020-01-24 17:00:00
Hubei,Mainland China,761,2020-01-25 17:00:00
Guangdong,Mainland China,78,2020-01-25 17:00:00
Zhejiang,Mainland China,62,2020-01-25 17:00:00
Chongqing,Mainland China,57,2020-01-25 17:00:00
Hunan,Mainland China,43,2020-01-25 17:00:00
Beijing,Mainland China,41,2020-01-25 17:00:00
Anhui,Mainland China,39,2020-01-25 17:00:00
Shanghai,Mainland China,33,2020-01-25 17:00:00
Henan,Mainland China,32,2020-01-25 17:00:00
Sichuan,Mainland China,28,2020-01-25 17:00:00
Shandong,Mainland China,27,2020-01-25 17:00:00
Guangxi,Mainland China,23,2020-01-25 17:00:00
Hainan,Mainland China,19,2020-01-25 17:00:00
Jiangxi,Mainland China,18,2020-01-25 17:00:00
Fujian,Mainland China,18,2020-01-25 17:00:00
Jiangsu,Mainland China,18,2020-01-25 17:00:00
Liaoning,Mainland China,17,2020-01-25 17:00:00
Shaanxi,Mainland China,15,2020-01-25 17:00:00
Yunnan,Mainland China,11,2020-01-25 17:00:00
Tianjin,Mainland China,10,2020-01-25 17:00:00
Heilongjiang,Mainland China,9,2020-01-25 17:00:00
Hebei,Mainland China,8,2020-01-25 17:00:00
Inner Mongolia,Mainland China,7,2020-01-25 17:00:00
Shanxi,Mainland China,6,2020-01-25 17:00:00
Hong Kong,Hong Kong,5,2020-01-25 17:00:00
Guizhou,Mainland China,4,2020-01-25 17:00:00
Jilin,Mainland China,4,2020-01-25 17:00:00
Gansu,Mainland China,4,2020-01-25 17:00:00
Ningxia,Mainland China,3,2020-01-25 17:00:00
Taiwan,Taiwan,3,2020-01-25 17:00:00
Xinjiang,Mainland China,3,2020-01-25 17:00:00
Macau,Macau,2,2020-01-25 17:00:00
Qinghai,Mainland China,1,2020-01-25 17:00:00
Washington,US,1,2020-01-25 17:00:00
Illinois,US,1,2020-01-25 17:00:00
,Japan,2,2020-01-25 17:00:00
,Thailand,7,2020-01-25 17:00:00
,South Korea,2,2020-01-25 17:00:00
,Singapore,3,2020-01-25 17:00:00
,Vietnam,2,2020-01-25 17:00:00
,France,3,2020-01-25 17:00:00
,Australia,4,2020-01-25 17:00:00
,Nepal,1,2020-01-25 17:00:00
,Malaysia,3,2020-01-25 17:00:00
Hubei,Mainland China,1058,2020-01-26 16:00:00
Guangdong,Mainland China,111,2020-01-26 16:00:00
Zhejiang,Mainland China,104,2020-01-26 16:00:00
Henan,Mainland China,83,2020-01-26 16:00:00
Chongqing,Mainland China,75,2020-01-26 16:00:00
Hunan,Mainland China,69,2020-01-26 16:00:00
Beijing,Mainland China,68,2020-01-26 16:00:00
Anhui,Mainland China,60,2020-01-26 16:00:00
Shandong,Mainland China,46,2020-01-26 16:00:00
Sichuan,Mainland China,44,2020-01-26 16:00:00
Shanghai,Mainland China,40,2020-01-26 16:00:00
Guangxi,Mainland China,36,2020-01-26 16:00:00
Jiangxi,Mainland China,36,2020-01-26 16:00:00
Fujian,Mainland China,35,2020-01-26 16:00:00
Jiangsu,Mainland China,33,2020-01-26 16:00:00
Hainan,Mainland China,22,2020-01-26 16:00:00
Shaanxi,Mainland China,22,2020-01-26 16:00:00
Liaoning,Mainland China,21,2020-01-26 16:00:00
Yunnan,Mainland China,16,2020-01-26 16:00:00
Heilongjiang,Mainland China,15,2020-01-26 16:00:00
Tianjin,Mainland China,14,2020-01-26 16:00:00
Hebei,Mainland China,13,2020-01-26 16:00:00
Shanxi,Mainland China,9,2020-01-26 16:00:00
Hong Kong,Hong Kong,8,2020-01-26 16:00:00
Inner Mongolia,Mainland China,7,2020-01-26 16:00:00
Gansu,Mainland China,7,2020-01-26 16:00:00
Guizhou,Mainland China,5,2020-01-26 16:00:00
Macau,Macau,5,2020-01-26 16:00:00
Ningxia,Mainland China,4,2020-01-26 16:00:00
Jilin,Mainland China,4,2020-01-26 16:00:00
Taiwan,Taiwan,4,2020-01-26 16:00:00
Xinjiang,Mainland China,4,2020-01-26 16:00:00
Qinghai,Mainland China,1,2020-01-26 16:00:00
Washington,US,1,2020-01-26 16:00:00
Illinois,US,1,2020-01-26 16:00:00
California,US,2,2020-01-26 16:00:00
Arizona,US,1,2020-01-26 16:00:00
,Japan,4,2020-01-26 16:00:00
,Thailand,8,2020-01-26 16:00:00
,South Korea,3,2020-01-26 16:00:00
,Singapore,4,2020-01-26 16:00:00
,Vietnam,2,2020-01-26 16:00:00
,France,3,2020-01-26 16:00:00
,Australia,4,2020-01-26 16:00:00
,Nepal,1,2020-01-26 16:00:00
,Malaysia,4,2020-01-26 16:00:00
Ontario,Canada,1,2020-01-26 16:00:00
Hubei,Mainland China,1423,2020-01-27 23:59:00
Guangdong,Mainland China,151,2020-01-27 23:59:00
Zhejiang,Mainland China,128,2020-01-27 23:59:00
Henan,Mainland China,128,2020-01-27 23:59:00
Chongqing,Mainland China,110,2020-01-27 23:59:00
Hunan,Mainland China,100,2020-01-27 23:59:00
Beijing,Mainland China,80,2020-01-27 23:59:00
Shandong,Mainland China,75,2020-01-27 23:59:00
Jiangxi,Mainland China,72,2020-01-27 23:59:00
Anhui,Mainland China,70,2020-01-27 23:59:00
Sichuan,Mainland China,69,2020-01-27 23:59:00
Fujian,Mainland China,59,2020-01-27 23:59:00
Shanghai,Mainland China,53,2020-01-27 23:59:00
Jiangsu,Mainland China,47,2020-01-27 23:59:00
Guangxi,Mainland China,46,2020-01-27 23:59:00
Shaanxi,Mainland China,35,2020-01-27 23:59:00
Hainan,Mainland China,33,2020-01-27 23:59:00
Liaoning,Mainland China,27,2020-01-27 23:59:00
Yunnan,Mainland China,26,2020-01-27 23:59:00
Tianjin,Mainland China,23,2020-01-27 23:59:00
Heilongjiang,Mainland China,21,2020-01-27 23:59:00
Hebei,Mainland China,18,2020-01-27 23:59:00
Gansu,Mainland China,14,2020-01-27 23:59:00
Shanxi,Mainland China,13,2020-01-27 23:59:00
Inner Mongolia,Mainland China,11,2020-01-27 23:59:00
Hong Kong,Hong Kong,8,2020-01-27 23:59:00
Guizhou,Mainland China,7,2020-01-27 23:59:00
Ningxia,Mainland China,7,2020-01-27 23:59:00
Jilin,Mainland China,6,2020-01-27 23:59:00
Macau,Macau,6,2020-01-27 23:59:00
Qinghai,Mainland China,6,2020-01-27 23:59:00
Taiwan,Taiwan,5,2020-01-27 23:59:00
Xinjiang,Mainland China,5,2020-01-27 23:59:00
Washington,US,1,2020-01-27 23:59:00
Illinois,US,1,2020-01-27 23:59:00
California,US,2,2020-01-27 23:59:00
Arizona,US,1,2020-01-27 23:59:00
,Japan,4,2020-01-27 23:59:00
,Thailand,8,2020-01-27 23:59:00
,South Korea,4,2020-01-27 23:59:00
,Singapore,5,2020-01-27 23:59:00
,Vietnam,2,2020-01-27 23:59:00
,France,3,2020-01-27 23:59:00
,Nepal,1,2020-01-27 23:59:00
,Malaysia,4,2020-01-27 23:59:00
Ontario,Canada,1,2020-01-27 23:59:00
,Cambodia,1,2020-01-27 23:59:00
,Sri Lanka,1,2020-01-27 23:59:00
,Ivory Coast,1,2020-01-27 23:59:00
New South Wales,Australia,4,2020-01-27 23:59:00
Victoria,Australia,1,2020-01-27 23:59:00
Hubei,Mainland China,3554,2020-01-28 23:00:00
Guangdong,Mainland China,207,2020-01-28 23:00:00
Zhejiang,Mainland China,173,2020-01-28 23:00:00
Henan,Mainland China,168,2020-01-28 23:00:00
Hunan,Mainland China,143,2020-01-28 23:00:00
Chongqing,Mainland China,132,2020-01-28 23:00:00
Jiangxi,Mainland China,109,2020-01-28 23:00:00
Anhui,Mainland China,106,2020-01-28 23:00:00
Shandong,Mainland China,95,2020-01-28 23:00:00
Beijing,Mainland China,91,2020-01-28 23:00:00
Sichuan,Mainland China,90,2020-01-28 23:00:00
Fujian,Mainland China,80,2020-01-28 23:00:00
Jiangsu,Mainland China,70,2020-01-28 23:00:00
Shanghai,Mainland China,66,2020-01-28 23:00:00
Guangxi,Mainland China,51,2020-01-28 23:00:00
Shaanxi,Mainland China,46,2020-01-28 23:00:00
Yunnan,Mainland China,44,2020-01-28 23:00:00
Hainan,Mainland China,40,2020-01-28 23:00:00
Liaoning,Mainland China,34,2020-01-28 23:00:00
Hebei,Mainland China,33,2020-01-28 23:00:00
Heilongjiang,Mainland China,33,2020-01-28 23:00:00
Shanxi,Mainland China,27,2020-01-28 23:00:00
Tianjin,Mainland China,24,2020-01-28 23:00:00
Gansu,Mainland China,19,2020-01-28 23:00:00
Inner Mongolia,Mainland China,15,2020-01-28 23:00:00
Ningxia,Mainland China,11,2020-01-28 23:00:00
Xinjiang,Mainland China,10,2020-01-28 23:00:00
Guizhou,Mainland China,9,2020-01-28 23:00:00
Jilin,Mainland China,8,2020-01-28 23:00:00
Taiwan,Taiwan,8,2020-01-28 23:00:00
Hong Kong,Hong Kong,8,2020-01-28 23:00:00
Macau,Macau,7,2020-01-28 23:00:00
Qinghai,Mainland China,6,2020-01-28 23:00:00
Washington,US,1,2020-01-28 23:00:00
Illinois,US,1,2020-01-28 23:00:00
California,US,2,2020-01-28 23:00:00
Arizona,US,1,2020-01-28 23:00:00
,Japan,7,2020-01-28 23:00:00
,Thailand,14,2020-01-28 23:00:00
,South Korea,4,2020-01-28 23:00:00
,Singapore,7,2020-01-28 23:00:00
,Vietnam,2,2020-01-28 23:00:00
,France,4,2020-01-28 23:00:00
,Nepal,1,2020-01-28 23:00:00
,Malaysia,4,2020-01-28 23:00:00
Ontario,Canada,1,2020-01-28 23:00:00
British Columbia,Canada,1,2020-01-28 23:00:00
,Cambodia,1,2020-01-28 23:00:00
,Sri Lanka,1,2020-01-28 23:00:00
New South Wales,Australia,4,2020-01-28 23:00:00
Victoria,Australia,1,2020-01-28 23:00:00
Bavaria,Germany,4,2020-01-28 23:00:00
Hubei,Mainland China,3554,2020-01-29 19:30:00
Zhejiang,Mainland China,296,2020-01-29 19:30:00
Guangdong,Mainland China,277,2020-01-29 19:30:00
Hunan,Mainland China,221,2020-01-29 19:30:00
Henan,Mainland China,206,2020-01-29 19:30:00
Anhui,Mainland China,152,2020-01-29 19:30:00
Chongqing,Mainland China,147,2020-01-29 19:30:00
Shandong,Mainland China,130,2020-01-29 19:30:00
Beijing,Mainland China,111,2020-01-29 19:30:00
Jiangxi,Mainland China,109,2020-01-29 19:30:00
Sichuan,Mainland China,108,2020-01-29 19:30:00
Jiangsu,Mainland China,99,2020-01-29 19:30:00
Shanghai,Mainland China,96,2020-01-29 19:30:00
Fujian,Mainland China,84,2020-01-29 19:30:00
Guangxi,Mainland China,58,2020-01-29 19:30:00
Shaanxi,Mainland China,56,2020-01-29 19:30:00
Yunnan,Mainland China,55,2020-01-29 19:30:00
Hebei,Mainland China,48,2020-01-29 19:30:00
Hainan,Mainland China,43,2020-01-29 19:30:00
Liaoning,Mainland China,39,2020-01-29 19:30:00
Heilongjiang,Mainland China,38,2020-01-29 19:30:00
Tianjin,Mainland China,27,2020-01-29 19:30:00
Shanxi,Mainland China,27,2020-01-29 19:30:00
Gansu,Mainland China,24,2020-01-29 19:30:00
Inner Mongolia,Mainland China,16,2020-01-29 19:30:00
Xinjiang,Mainland China,13,2020-01-29 19:30:00
Ningxia,Mainland China,12,2020-01-29 19:30:00
Hong Kong,Hong Kong,10,2020-01-29 19:30:00
Guizhou,Mainland China,9,2020-01-29 19:30:00
Jilin,Mainland China,9,2020-01-29 19:30:00
Taiwan,Taiwan,8,2020-01-29 19:30:00
Macau,Macau,7,2020-01-29 19:30:00
Qinghai,Mainland China,6,2020-01-29 19:30:00
Washington,US,1,2020-01-29 19:30:00
Illinois,US,1,2020-01-29 19:30:00
California,US,2,2020-01-29 19:30:00
Arizona,US,1,2020-01-29 19:30:00
,Japan,7,2020-01-29 19:30:00
,Thailand,14,2020-01-29 19:30:00
,South Korea,4,2020-01-29 19:30:00
,Singapore,7,2020-01-29 19:30:00
,Vietnam,2,2020-01-29 19:30:00
,France,5,2020-01-29 19:30:00
,Nepal,1,2020-01-29 19:30:00
,Malaysia,7,2020-01-29 19:30:00
Ontario,Canada,1,2020-01-29 19:30:00
British Columbia,Canada,1,2020-01-29 19:30:00
,Cambodia,1,2020-01-29 19:30:00
,Sri Lanka,1,2020-01-29 19:30:00
New South Wales,Australia,4,2020-01-29 19:30:00
Victoria,Australia,1,2020-01-29 19:30:00
Bavaria,Germany,4,2020-01-29 19:30:00
,Finland,1,2020-01-29 19:30:00
,United Arab Emirates,4,2020-01-29 19:30:00
Hubei,Mainland China,4903,2020-01-30 16:00:00
Zhejiang,Mainland China,428,2020-01-30 16:00:00
Guangdong,Mainland China,354,2020-01-30 16:00:00
Henan,Mainland China,278,2020-01-30 16:00:00
Hunan,Mainland China,277,2020-01-30 16:00:00
Anhui,Mainland China,200,2020-01-30 16:00:00
Chongqing,Mainland China,182,2020-01-30 16:00:00
Jiangxi,Mainland China,162,2020-01-30 16:00:00
Shandong,Mainland China,158,2020-01-30 16:00:00
Sichuan,Mainland China,142,2020-01-30 16:00:00
Jiangsu,Mainland China,129,2020-01-30 16:00:00
Beijing,Mainland China,114,2020-01-30 16:00:00
Shanghai,Mainland China,112,2020-01-30 16:00:00
Fujian,Mainland China,101,2020-01-30 16:00:00
Guangxi,Mainland China,78,2020-01-30 16:00:00
Yunnan,Mainland China,70,2020-01-30 16:00:00
Hebei,Mainland China,65,2020-01-30 16:00:00
Shaanxi,Mainland China,63,2020-01-30 16:00:00
Hainan,Mainland China,46,2020-01-30 16:00:00
Heilongjiang,Mainland China,44,2020-01-30 16:00:00
Liaoning,Mainland China,41,2020-01-30 16:00:00
Shanxi,Mainland China,35,2020-01-30 16:00:00
Tianjin,Mainland China,31,2020-01-30 16:00:00
Gansu,Mainland China,26,2020-01-30 16:00:00
Inner Mongolia,Mainland China,19,2020-01-30 16:00:00
Ningxia,Mainland China,17,2020-01-30 16:00:00
Jilin,Mainland China,14,2020-01-30 16:00:00
Xinjiang,Mainland China,14,2020-01-30 16:00:00
Guizhou,Mainland China,12,2020-01-30 16:00:00
Hong Kong,Hong Kong,10,2020-01-30 16:00:00
Taiwan,Taiwan,9,2020-01-30 16:00:00
Qinghai,Mainland China,8,2020-01-30 16:00:00
Macau,Macau,7,2020-01-30 16:00:00
Tibet,Mainland China,1,2020-01-30 16:00:00
Washington,US,1,2020-01-30 16:00:00
Illinois,US,1,2020-01-30 16:00:00
California,US,2,2020-01-30 16:00:00
Arizona,US,1,2020-01-30 16:00:00
,Japan,11,2020-01-30 16:00:00
,Thailand,14,2020-01-30 16:00:00
,South Korea,4,2020-01-30 16:00:00
,Singapore,10,2020-01-30 16:00:00
,Vietnam,2,2020-01-30 16:00:00
,France,5,2020-01-30 16:00:00
,Nepal,1,2020-01-30 16:00:00
,Malaysia,8,2020-01-30 16:00:00
Ontario,Canada,2,2020-01-30 16:00:00
British Columbia,Canada,1,2020-01-30 16:00:00
,Cambodia,1,2020-01-30 16:00:00
,Sri Lanka,1,2020-01-30 16:00:00
New South Wales,Australia,4,2020-01-30 16:00:00
Victoria,Australia,2,2020-01-30 16:00:00
Queensland,Australia,3,2020-01-30 16:00:00
Bavaria,Germany,4,2020-01-30 16:00:00
,Finland,1,2020-01-30 16:00:00
,United Arab Emirates,4,2020-01-30 16:00:00
,Philippines,1,2020-01-30 16:00:00
,India,1,2020-01-30 16:00:00
Hubei,Mainland China,5806,2020-01-31 23:59:00
Zhejiang,Mainland China,538,2020-01-31 23:59:00
Guangdong,Mainland China,436,2020-01-31 23:59:00
Henan,Mainland China,352,2020-01-31 23:59:00
Hunan,Mainland China,332,2020-01-31 23:59:00
Jiangxi,Mainland China,240,2020-01-31 23:59:00
Anhui,Mainland China,237,2020-01-31 23:59:00
Chongqing,Mainland China,211,2020-01-31 23:59:00
Shandong,Mainland China,184,2020-01-31 23:59:00
Sichuan,Mainland China,177,2020-01-31 23:59:00
Jiangsu,Mainland China,168,2020-01-31 23:59:00
Beijing,Mainland China,139,2020-01-31 23:59:00
Shanghai,Mainland China,135,2020-01-31 23:59:00
Fujian,Mainland China,120,2020-01-31 23:59:00
Guangxi,Mainland China,87,2020-01-31 23:59:00
Shaanxi,Mainland China,87,2020-01-31 23:59:00
Yunnan,Mainland China,83,2020-01-31 23:59:00
Hebei,Mainland China,82,2020-01-31 23:59:00
Heilongjiang,Mainland China,59,2020-01-31 23:59:00
Hainan,Mainland China,52,2020-01-31 23:59:00
Liaoning,Mainland China,48,2020-01-31 23:59:00
Shanxi,Mainland China,39,2020-01-31 23:59:00
Tianjin,Mainland China,32,2020-01-31 23:59:00
Guizhou,Mainland China,29,2020-01-31 23:59:00
Gansu,Mainland China,29,2020-01-31 23:59:00
Ningxia,Mainland China,21,2020-01-31 23:59:00
Inner Mongolia,Mainland China,20,2020-01-31 23:59:00
Xinjiang,Mainland China,17,2020-01-31 23:59:00
Jilin,Mainland China,14,2020-01-31 23:59:00
Hong Kong,Hong Kong,12,2020-01-31 23:59:00
Taiwan,Taiwan,10,2020-01-31 23:59:00
Qinghai,Mainland China,8,2020-01-31 23:59:00
Macau,Macau,7,2020-01-31 23:59:00
Tibet,Mainland China,1,2020-01-31 23:59:00
,Thailand,19,2020-01-31 23:59:00
,Japan,15,2020-01-31 23:59:00
,Singapore,13,2020-01-31 23:59:00
,South Korea,11,2020-01-31 23:59:00
,Malaysia,8,2020-01-31 23:59:00
,France,5,2020-01-31 23:59:00
Bavaria,Germany,5,2020-01-31 23:59:00
New South Wales,Australia,4,2020-01-31 23:59:00
,United Arab Emirates,4,2020-01-31 23:59:00
Victoria,Australia,3,2020-01-31 23:59:00
Illinois,US,2,2020-01-31 23:59:00
California,US,2,2020-01-31 23:59:00
,Vietnam,2,2020-01-31 23:59:00
Ontario,Canada,2,2020-01-31 23:59:00
Queensland,Australia,2,2020-01-31 23:59:00
,Italy,2,2020-01-31 23:59:00
,UK,2,2020-01-31 23:59:00
,Russia,2,2020-01-31 23:59:00
Washington,US,1,2020-01-31 23:59:00
Arizona,US,1,2020-01-31 23:59:00
,Nepal,1,2020-01-31 23:59:00
British Columbia,Canada,1,2020-01-31 23:59:00
,Cambodia,1,2020-01-31 23:59:00
,Sri Lanka,1,2020-01-31 23:59:00
,Finland,1,2020-01-31 23:59:00
,Philippines,1,2020-01-31 23:59:00
,India,1,2020-01-31 23:59:00
,Sweden,1,2020-01-31 23:59:00
Hubei,Mainland China,7153,2020-02-01 11:53:00
Zhejiang,Mainland China,599,2020-02-01 10:53:00
Guangdong,Mainland China,535,2020-02-01 14:23:00
Henan,Mainland China,422,2020-02-01 01:52:00
Hunan,Mainland China,389,2020-02-01 11:03:00
Anhui,Mainland China,297,2020-02-01 13:33:00
Jiangxi,Mainland China,286,2020-02-01 01:52:00
Chongqing,Mainland China,247,2020-02-01 08:43:00
Sichuan,Mainland China,207,2020-02-01 01:52:00
Shandong,Mainland China,206,2020-02-01 07:51:00
Jiangsu,Mainland China,202,2020-02-01 14:03:00
Shanghai,Mainland China,169,2020-02-01 06:05:00
Beijing,Mainland China,168,2020-02-01 09:17:00
Fujian,Mainland China,144,2020-02-01 05:37:00
Shaanxi,Mainland China,101,2020-02-01 05:37:00
Guangxi,Mainland China,100,2020-02-01 01:52:00
Hebei,Mainland China,96,2020-02-01 01:52:00
Yunnan,Mainland China,93,2020-02-01 15:53:00
Heilongjiang,Mainland China,80,2020-02-01 10:33:00
Liaoning,Mainland China,64,2020-02-01 15:23:00
Hainan,Mainland China,62,2020-02-01 08:43:00
Shanxi,Mainland China,47,2020-02-01 01:52:00
Tianjin,Mainland China,41,2020-02-01 15:43:00
Gansu,Mainland China,40,2020-02-01 15:43:00
Guizhou,Mainland China,29,2020-01-31 15:20:00
Ningxia,Mainland China,26,2020-02-01 02:13:00
Inner Mongolia,Mainland China,23,2020-02-01 05:37:00
,Japan,20,2020-02-01 18:53:00
,Thailand,19,2020-01-31 10:37:00
Xinjiang,Mainland China,18,2020-02-01 05:37:00
Jilin,Mainland China,17,2020-02-01 01:52:00
,Singapore,16,2020-02-01 05:37:00
Hong Kong,Hong Kong,13,2020-02-01 05:37:00
,South Korea,12,2020-02-01 10:43:00
Taiwan,Taiwan,10,2020-01-31 15:20:00
Qinghai,Mainland China,9,2020-02-01 05:37:00
,Malaysia,8,2020-01-31 08:15:00
,Germany,8,2020-02-01 18:33:00
Macau,Macau,7,2020-01-31 08:15:00
,France,6,2020-02-01 01:52:00
,Vietnam,6,2020-02-01 07:38:00
New South Wales,Australia,4,2020-02-01 18:12:00
Victoria,Australia,4,2020-02-01 18:12:00
,United Arab Emirates,4,2020-01-31 08:15:00
Queensland,Australia,3,2020-02-01 18:12:00
Ontario,Canada,3,2020-02-01 18:12:00
,Italy,2,2020-01-31 08:15:00
,Russia,2,2020-01-31 16:13:00
,UK,2,2020-02-01 01:52:00
"Chicago, IL",US,2,2020-02-01 19:43:00
South Australia,Australia,1,2020-02-01 18:12:00
,Cambodia,1,2020-01-31 08:15:00
British Columbia,Canada,1,2020-02-01 18:12:00
,Finland,1,2020-01-31 08:15:00
,India,1,2020-01-31 08:15:00
Tibet,Mainland China,1,2020-02-01 01:52:00
,Nepal,1,2020-01-31 08:15:00
,Philippines,1,2020-02-01 17:43:00
,Spain,1,2020-02-01 02:13:00
,Sri Lanka,1,2020-01-31 08:15:00
,Sweden,1,2020-02-01 02:13:00
"Boston, MA",US,1,2020-02-01 19:43:00
