ST,Timestamp,Avg,Confirmed
CA,2020-02-28,2.0,2
CA,2020-02-29,2.0,2
CA,2020-03-01,2.0,2
CA,2020-03-02,2.0,2
CA,2020-03-03,2.0,2
CA,2020-03-04,2.0,2
CA,2020-03-05,2.0,2
CA,2020-03-06,2.0,2
CA,2020-03-07,2.0,2
CA,2020-03-08,2.0,2
CA,2020-03-09,2.0,2
CA,2020-03-10,2.0,2
CA,2020-03-11,49.333333333333336,144
CA,2020-03-12,107.66666666666667,177
CA,2020-03-13,180.66666666666666,221
CA,2020-03-14,206.33333333333334,221
CA,2020-03-15,260.6666666666667,340
CA,2020-03-16,329.0,426
CA,2020-03-17,441.0,557
CA,2020-03-18,560.3333333333334,698
CA,2020-03-19,668.6666666666666,751
CA,2020-03-20,800.3333333333334,952
CA,2020-03-21,960.0,1177
CA,2020-03-22,1164.3333333333333,1364
CA,2020-03-23,1376.0,1587
CA,2020-03-24,1665.0,2044
CA,2020-03-25,1984.6666666666667,2323
CO,2020-03-13,31.333333333333332,45
CO,2020-03-14,41.333333333333336,45
CO,2020-03-15,107.33333333333333,232
CO,2020-03-16,169.66666666666666,232
CO,2020-03-17,208.0,160
CO,2020-03-18,184.0,160
CO,2020-03-19,168.0,184
CO,2020-03-20,207.0,277
CO,2020-03-21,274.6666666666667,363
CO,2020-03-22,343.3333333333333,390
CO,2020-03-23,411.0,480
CO,2020-03-24,517.0,681
CO,2020-03-25,614.6666666666666,683
CT,2020-03-13,3.3333333333333335,5
CT,2020-03-14,4.333333333333333,5
CT,2020-03-15,10.666666666666666,22
CT,2020-03-16,17.0,24
CT,2020-03-17,25.333333333333332,30
CT,2020-03-18,40.666666666666664,68
CT,2020-03-19,55.333333333333336,68
CT,2020-03-20,98.33333333333333,159
CT,2020-03-21,140.33333333333334,194
CT,2020-03-22,182.33333333333334,194
CT,2020-03-23,238.33333333333334,327
CT,2020-03-24,312.0,415
CT,2020-03-25,453.3333333333333,618
DE,2020-03-13,0.6666666666666666,1
DE,2020-03-14,1.0,1
DE,2020-03-15,5.0,13
DE,2020-03-16,9.0,13
DE,2020-03-17,11.333333333333334,8
DE,2020-03-18,12.333333333333334,16
DE,2020-03-19,14.333333333333334,19
DE,2020-03-20,21.666666666666668,30
DE,2020-03-21,29.0,38
DE,2020-03-22,37.666666666666664,45
DE,2020-03-23,46.333333333333336,56
DE,2020-03-24,56.333333333333336,68
DE,2020-03-25,76.0,104
FL,2020-03-13,33.333333333333336,35
FL,2020-03-14,40.0,35
FL,2020-03-15,48.666666666666664,76
FL,2020-03-16,75.33333333333333,115
FL,2020-03-17,115.33333333333333,155
FL,2020-03-18,162.0,216
FL,2020-03-19,228.33333333333334,314
FL,2020-03-20,315.6666666666667,417
FL,2020-03-21,431.3333333333333,563
FL,2020-03-22,546.3333333333334,659
FL,2020-03-23,705.0,893
FL,2020-03-24,900.0,1148
FL,2020-03-25,1097.6666666666667,1252
GA,2020-03-13,30.0,31
GA,2020-03-14,34.666666666666664,31
GA,2020-03-15,42.666666666666664,66
GA,2020-03-16,65.33333333333333,99
GA,2020-03-17,95.33333333333333,121
GA,2020-03-18,122.0,146
GA,2020-03-19,155.33333333333334,199
GA,2020-03-20,210.66666666666666,287
GA,2020-03-21,302.0,420
GA,2020-03-22,404.6666666666667,507
GA,2020-03-23,473.3333333333333,493
GA,2020-03-24,550.6666666666666,652
GA,2020-03-25,668.6666666666666,861
HI,2020-03-13,2.0,2
HI,2020-03-14,2.0,2
HI,2020-03-15,2.6666666666666665,4
HI,2020-03-16,4.0,6
HI,2020-03-17,5.666666666666667,7
HI,2020-03-18,7.666666666666667,10
HI,2020-03-19,10.333333333333334,14
HI,2020-03-20,13.333333333333334,16
HI,2020-03-21,18.666666666666668,26
HI,2020-03-22,26.333333333333332,37
HI,2020-03-23,38.666666666666664,53
HI,2020-03-24,47.666666666666664,53
HI,2020-03-25,65.33333333333333,90
IA,2020-03-13,13.666666666666666,16
IA,2020-03-14,16.666666666666668,17
IA,2020-03-15,16.666666666666668,17
IA,2020-03-16,17.333333333333332,18
IA,2020-03-17,19.333333333333332,23
IA,2020-03-18,21.333333333333332,23
IA,2020-03-19,25.0,29
IA,2020-03-20,32.0,44
IA,2020-03-21,39.333333333333336,45
IA,2020-03-22,52.333333333333336,68
IA,2020-03-23,58.666666666666664,63
IA,2020-03-24,63.333333333333336,59
IA,2020-03-25,67.33333333333333,80
ID,2020-03-13,0.6666666666666666,1
ID,2020-03-14,1.0,1
ID,2020-03-15,1.3333333333333333,2
ID,2020-03-16,2.6666666666666665,5
ID,2020-03-17,4.0,5
ID,2020-03-18,6.0,8
ID,2020-03-19,7.333333333333333,9
ID,2020-03-20,9.333333333333334,11
ID,2020-03-21,14.333333333333334,23
ID,2020-03-22,23.333333333333332,36
ID,2020-03-23,32.333333333333336,38
ID,2020-03-24,44.666666666666664,60
ID,2020-03-25,56.333333333333336,71
IL,2020-01-28,1.0,1
IL,2020-01-29,1.0,1
IL,2020-01-30,1.0,1
IL,2020-01-31,1.0,1
IL,2020-02-01,1.3333333333333333,2
IL,2020-02-02,1.6666666666666667,2
IL,2020-02-03,2.0,2
IL,2020-02-04,2.0,2
IL,2020-02-05,2.0,2
IL,2020-02-06,2.0,2
IL,2020-02-07,2.0,2
IL,2020-02-08,2.0,2
IL,2020-02-09,2.0,2
IL,2020-02-10,2.0,2
IL,2020-02-11,2.0,2
IL,2020-02-12,2.0,2
IL,2020-02-13,2.0,2
IL,2020-02-14,2.0,2
IL,2020-02-15,2.0,2
IL,2020-02-16,2.0,2
IL,2020-02-17,2.0,2
IL,2020-02-18,2.0,2
IL,2020-02-19,2.0,2
IL,2020-02-20,2.0,2
IL,2020-02-21,2.0,2
IL,2020-02-22,2.0,2
IL,2020-02-23,2.0,2
IL,2020-02-24,2.0,2
IL,2020-02-25,2.0,2
IL,2020-02-26,2.0,2
IL,2020-02-27,2.0,2
IL,2020-02-28,2.0,2
IL,2020-02-29,2.0,2
IL,2020-03-01,2.0,2
IL,2020-03-02,2.0,2
IL,2020-03-03,2.0,2
IL,2020-03-04,2.0,2
IL,2020-03-05,2.0,2
IL,2020-03-06,2.0,2
IL,2020-03-07,2.0,2
IL,2020-03-08,2.0,2
IL,2020-03-09,2.0,2
IL,2020-03-10,2.0,2
IL,2020-03-11,5.333333333333333,12
IL,2020-03-12,13.0,25
IL,2020-03-13,23.0,32
IL,2020-03-14,29.666666666666668,32
IL,2020-03-15,42.666666666666664,64
IL,2020-03-16,63.0,93
IL,2020-03-17,87.33333333333333,105
IL,2020-03-18,119.66666666666667,161
IL,2020-03-19,142.66666666666666,162
IL,2020-03-20,248.33333333333334,422
IL,2020-03-21,389.6666666666667,585
IL,2020-03-22,586.6666666666666,753
IL,2020-03-23,784.3333333333334,1015
IL,2020-03-24,1006.6666666666666,1252
IL,2020-03-25,1254.3333333333333,1496
IN,2020-03-13,10.0,13
IN,2020-03-14,12.333333333333334,13
IN,2020-03-15,14.0,16
IN,2020-03-16,16.333333333333332,20
IN,2020-03-17,20.333333333333332,25
IN,2020-03-18,25.0,30
IN,2020-03-19,31.333333333333332,39
IN,2020-03-20,43.0,60
IN,2020-03-21,61.666666666666664,86
IN,2020-03-22,91.33333333333333,128
IN,2020-03-23,121.66666666666667,151
IN,2020-03-24,167.66666666666666,224
IN,2020-03-25,212.33333333333334,262
KS,2020-03-13,3.6666666666666665,5
KS,2020-03-14,5.0,5
KS,2020-03-15,6.0,8
KS,2020-03-16,7.0,8
KS,2020-03-17,9.0,11
KS,2020-03-18,12.333333333333334,18
KS,2020-03-19,15.666666666666666,18
KS,2020-03-20,23.333333333333332,34
KS,2020-03-21,32.0,44
KS,2020-03-22,45.0,57
KS,2020-03-23,51.0,52
KS,2020-03-24,58.666666666666664,67
KS,2020-03-25,65.33333333333333,77
KY,2020-03-13,10.0,10
KY,2020-03-14,12.666666666666666,14
KY,2020-03-15,12.666666666666666,14
KY,2020-03-16,16.0,20
KY,2020-03-17,18.333333333333332,21
KY,2020-03-18,22.333333333333332,26
KY,2020-03-19,24.666666666666668,27
KY,2020-03-20,30.0,37
KY,2020-03-21,37.0,47
KY,2020-03-22,57.0,87
KY,2020-03-23,72.66666666666667,84
KY,2020-03-24,84.33333333333333,82
KY,2020-03-25,98.0,128
LA,2020-03-13,18.666666666666668,19
LA,2020-03-14,24.666666666666668,19
LA,2020-03-15,38.333333333333336,77
LA,2020-03-16,62.333333333333336,91
LA,2020-03-17,101.33333333333333,136
LA,2020-03-18,141.0,196
LA,2020-03-19,196.33333333333334,257
LA,2020-03-20,281.6666666666667,392
LA,2020-03-21,395.6666666666667,538
LA,2020-03-22,505.0,585
LA,2020-03-23,635.0,782
LA,2020-03-24,815.3333333333334,1079
LA,2020-03-25,1055.6666666666667,1306
MA,2020-03-13,98.33333333333333,108
MA,2020-03-14,103.66666666666667,108
MA,2020-03-15,172.66666666666666,302
MA,2020-03-16,237.33333333333334,302
MA,2020-03-17,267.0,197
MA,2020-03-18,239.0,218
MA,2020-03-19,211.0,218
MA,2020-03-20,254.66666666666666,328
MA,2020-03-21,319.6666666666667,413
MA,2020-03-22,422.0,525
MA,2020-03-23,510.0,592
MA,2020-03-24,629.3333333333334,771
MA,2020-03-25,840.6666666666666,1159
MD,2020-03-13,12.666666666666666,12
MD,2020-03-14,14.0,12
MD,2020-03-15,16.666666666666668,26
MD,2020-03-16,23.333333333333332,32
MD,2020-03-17,33.0,41
MD,2020-03-18,44.333333333333336,60
MD,2020-03-19,62.0,85
MD,2020-03-20,84.0,107
MD,2020-03-21,113.66666666666667,149
MD,2020-03-22,149.66666666666666,193
MD,2020-03-23,182.33333333333334,205
MD,2020-03-24,222.0,268
MD,2020-03-25,265.0,322
ME,2020-03-13,0.6666666666666666,1
ME,2020-03-14,1.0,1
ME,2020-03-15,1.6666666666666667,3
ME,2020-03-16,5.333333333333333,12
ME,2020-03-17,10.666666666666666,17
ME,2020-03-18,20.333333333333332,32
ME,2020-03-19,30.333333333333332,42
ME,2020-03-20,42.0,52
ME,2020-03-21,50.0,56
ME,2020-03-22,59.333333333333336,70
ME,2020-03-23,65.33333333333333,70
ME,2020-03-24,77.0,91
ME,2020-03-25,90.0,109
MI,2020-03-13,10.666666666666666,16
MI,2020-03-14,16.0,16
MI,2020-03-15,19.0,25
MI,2020-03-16,24.666666666666668,33
MI,2020-03-17,37.0,53
MI,2020-03-18,50.333333333333336,65
MI,2020-03-19,67.0,83
MI,2020-03-20,160.66666666666666,334
MI,2020-03-21,323.0,552
MI,2020-03-22,558.0,788
MI,2020-03-23,782.6666666666666,1008
MI,2020-03-24,1028.3333333333333,1289
MI,2020-03-25,1336.6666666666667,1713
MN,2020-03-13,8.666666666666666,9
MN,2020-03-14,10.666666666666666,9
MN,2020-03-15,13.0,21
MN,2020-03-16,21.666666666666668,35
MN,2020-03-17,36.666666666666664,54
MN,2020-03-18,49.666666666666664,60
MN,2020-03-19,63.666666666666664,77
MN,2020-03-20,75.33333333333333,89
MN,2020-03-21,93.66666666666667,115
MN,2020-03-22,114.0,138
MN,2020-03-23,129.66666666666666,136
MN,2020-03-24,154.33333333333334,189
MN,2020-03-25,178.33333333333334,210
MO,2020-03-13,1.6666666666666667,2
MO,2020-03-14,2.0,2
MO,2020-03-15,2.6666666666666665,4
MO,2020-03-16,3.6666666666666665,5
MO,2020-03-17,5.0,6
MO,2020-03-18,7.333333333333333,11
MO,2020-03-19,11.666666666666666,18
MO,2020-03-20,20.0,31
MO,2020-03-21,34.0,53
MO,2020-03-22,52.666666666666664,74
MO,2020-03-23,64.66666666666667,67
MO,2020-03-24,91.0,132
MO,2020-03-25,141.66666666666666,226
MS,2020-03-13,0.6666666666666666,1
MS,2020-03-14,1.0,1
MS,2020-03-15,6.0,16
MS,2020-03-16,11.0,16
MS,2020-03-17,15.0,13
MS,2020-03-18,16.666666666666668,21
MS,2020-03-19,22.666666666666668,34
MS,2020-03-20,35.0,50
MS,2020-03-21,54.666666666666664,80
MS,2020-03-22,90.0,140
MS,2020-03-23,113.0,119
MS,2020-03-24,131.66666666666666,136
MS,2020-03-25,145.0,180
MT,2020-03-13,0.6666666666666666,1
MT,2020-03-14,1.0,1
MT,2020-03-15,2.3333333333333335,5
MT,2020-03-16,4.333333333333333,7
MT,2020-03-17,6.333333333333333,7
MT,2020-03-18,7.666666666666667,9
MT,2020-03-19,9.0,11
MT,2020-03-20,10.333333333333334,11
MT,2020-03-21,12.333333333333334,15
MT,2020-03-22,15.666666666666666,21
MT,2020-03-23,19.333333333333332,22
MT,2020-03-24,21.666666666666668,22
MT,2020-03-25,27.666666666666668,39
NC,2020-03-13,13.0,15
NC,2020-03-14,15.666666666666666,15
NC,2020-03-15,18.0,24
NC,2020-03-16,24.0,33
NC,2020-03-17,31.666666666666668,38
NC,2020-03-18,45.0,64
NC,2020-03-19,57.333333333333336,70
NC,2020-03-20,85.66666666666667,123
NC,2020-03-21,121.66666666666667,172
NC,2020-03-22,182.66666666666666,253
NC,2020-03-23,215.33333333333334,221
NC,2020-03-24,243.0,255
NC,2020-03-25,285.0,379
ND,2020-03-13,0.6666666666666666,1
ND,2020-03-14,1.0,1
ND,2020-03-15,1.0,1
ND,2020-03-16,1.0,1
ND,2020-03-17,1.0,1
ND,2020-03-18,1.6666666666666667,3
ND,2020-03-19,3.3333333333333335,6
ND,2020-03-20,9.0,18
ND,2020-03-21,14.333333333333334,19
ND,2020-03-22,21.666666666666668,28
ND,2020-03-23,24.333333333333332,26
ND,2020-03-24,27.666666666666668,29
ND,2020-03-25,28.666666666666668,31
NE,2020-03-13,6.0,10
NE,2020-03-14,8.333333333333334,10
NE,2020-03-15,11.333333333333334,14
NE,2020-03-16,13.666666666666666,17
NE,2020-03-17,16.333333333333332,18
NE,2020-03-18,18.666666666666668,21
NE,2020-03-19,21.0,24
NE,2020-03-20,24.666666666666668,29
NE,2020-03-21,30.0,37
NE,2020-03-22,34.666666666666664,38
NE,2020-03-23,40.0,45
NE,2020-03-24,42.666666666666664,45
NE,2020-03-25,47.666666666666664,53
NH,2020-03-13,5.333333333333333,6
NH,2020-03-14,6.0,6
NH,2020-03-15,10.666666666666666,20
NH,2020-03-16,15.333333333333334,20
NH,2020-03-17,19.0,17
NH,2020-03-18,21.0,26
NH,2020-03-19,23.0,26
NH,2020-03-20,32.0,44
NH,2020-03-21,38.0,44
NH,2020-03-22,47.666666666666664,55
NH,2020-03-23,52.0,57
NH,2020-03-24,69.33333333333333,96
NH,2020-03-25,80.66666666666667,89
NJ,2020-03-13,24.333333333333332,29
NJ,2020-03-14,29.0,29
NJ,2020-03-15,42.333333333333336,69
NJ,2020-03-16,65.33333333333333,98
NJ,2020-03-17,115.0,178
NJ,2020-03-18,181.0,267
NJ,2020-03-19,237.33333333333334,267
NJ,2020-03-20,425.3333333333333,742
NJ,2020-03-21,633.0,890
NJ,2020-03-22,986.3333333333334,1327
NJ,2020-03-23,1376.6666666666667,1913
NJ,2020-03-24,2027.6666666666667,2843
NJ,2020-03-25,2810.3333333333335,3675
NM,2020-03-13,5.0,5
NM,2020-03-14,6.666666666666667,5
NM,2020-03-15,6.666666666666667,10
NM,2020-03-16,9.333333333333334,13
NM,2020-03-17,13.333333333333334,17
NM,2020-03-18,17.666666666666668,23
NM,2020-03-19,21.0,23
NM,2020-03-20,27.0,35
NM,2020-03-21,33.666666666666664,43
NM,2020-03-22,40.333333333333336,43
NM,2020-03-23,46.333333333333336,53
NM,2020-03-24,57.666666666666664,77
NM,2020-03-25,72.33333333333333,87
NV,2020-03-13,8.333333333333334,14
NV,2020-03-14,11.666666666666666,14
NV,2020-03-15,24.333333333333332,45
NV,2020-03-16,34.666666666666664,45
NV,2020-03-17,45.0,45
NV,2020-03-18,48.666666666666664,56
NV,2020-03-19,52.0,55
NV,2020-03-20,68.66666666666667,95
NV,2020-03-21,88.0,114
NV,2020-03-22,123.33333333333333,161
NV,2020-03-23,155.0,190
NV,2020-03-24,198.66666666666666,245
NV,2020-03-25,236.33333333333334,274
NY,2020-03-13,240.33333333333334,328
NY,2020-03-14,292.0,328
NY,2020-03-15,393.6666666666667,525
NY,2020-03-16,528.3333333333334,732
NY,2020-03-17,741.3333333333334,967
NY,2020-03-18,1135.0,1706
NY,2020-03-19,1722.6666666666667,2495
NY,2020-03-20,3188.6666666666665,5365
NY,2020-03-21,5390.0,8310
NY,2020-03-22,8461.666666666666,11710
NY,2020-03-23,11926.333333333334,15759
NY,2020-03-24,16102.666666666666,20839
NY,2020-03-25,20736.0,25610
OH,2020-03-13,7.0,5
OH,2020-03-14,7.666666666666667,5
OH,2020-03-15,12.0,26
OH,2020-03-16,22.666666666666668,37
OH,2020-03-17,37.666666666666664,50
OH,2020-03-18,51.333333333333336,67
OH,2020-03-19,67.66666666666667,86
OH,2020-03-20,90.66666666666667,119
OH,2020-03-21,126.0,173
OH,2020-03-22,180.0,248
OH,2020-03-23,234.66666666666666,283
OH,2020-03-24,301.6666666666667,374
OH,2020-03-25,379.6666666666667,482
OK,2020-03-13,2.0,2
OK,2020-03-14,2.0,2
OK,2020-03-15,5.0,11
OK,2020-03-16,8.0,11
OK,2020-03-17,10.666666666666666,10
OK,2020-03-18,13.333333333333334,19
OK,2020-03-19,16.0,19
OK,2020-03-20,27.333333333333332,44
OK,2020-03-21,37.333333333333336,49
OK,2020-03-22,48.666666666666664,53
OK,2020-03-23,52.333333333333336,55
OK,2020-03-24,58.333333333333336,67
OK,2020-03-25,70.66666666666667,90
OR,2020-03-13,19.333333333333332,24
OR,2020-03-14,22.333333333333332,24
OR,2020-03-15,26.666666666666668,32
OR,2020-03-16,30.666666666666668,36
OR,2020-03-17,35.666666666666664,39
OR,2020-03-18,47.0,66
OR,2020-03-19,57.666666666666664,68
OR,2020-03-20,74.0,88
OR,2020-03-21,90.0,114
OR,2020-03-22,105.33333333333333,114
OR,2020-03-23,119.66666666666667,131
OR,2020-03-24,141.66666666666666,180
OR,2020-03-25,169.33333333333334,197
PA,2020-03-13,16.666666666666668,22
PA,2020-03-14,20.0,22
PA,2020-03-15,52.333333333333336,113
PA,2020-03-16,82.66666666666667,113
PA,2020-03-17,101.0,77
PA,2020-03-18,100.66666666666667,112
PA,2020-03-19,113.66666666666667,152
PA,2020-03-20,156.66666666666666,206
PA,2020-03-21,220.33333333333334,303
PA,2020-03-22,301.6666666666667,396
PA,2020-03-23,392.6666666666667,479
PA,2020-03-24,492.3333333333333,602
PA,2020-03-25,663.0,908
RI,2020-03-13,10.333333333333334,14
RI,2020-03-14,14.0,14
RI,2020-03-15,16.0,20
RI,2020-03-16,18.0,20
RI,2020-03-17,20.333333333333332,21
RI,2020-03-18,21.333333333333332,23
RI,2020-03-19,25.666666666666668,33
RI,2020-03-20,33.333333333333336,44
RI,2020-03-21,43.666666666666664,54
RI,2020-03-22,54.666666666666664,66
RI,2020-03-23,65.0,75
RI,2020-03-24,79.33333333333333,97
RI,2020-03-25,95.66666666666667,115
SC,2020-03-13,9.666666666666666,12
SC,2020-03-14,11.333333333333334,12
SC,2020-03-15,23.666666666666668,47
SC,2020-03-16,35.333333333333336,47
SC,2020-03-17,42.333333333333336,33
SC,2020-03-18,42.333333333333336,47
SC,2020-03-19,42.333333333333336,47
SC,2020-03-20,58.333333333333336,81
SC,2020-03-21,84.66666666666667,126
SC,2020-03-22,126.0,171
SC,2020-03-23,154.66666666666666,167
SC,2020-03-24,186.66666666666666,222
SC,2020-03-25,221.66666666666666,276
SD,2020-03-13,5.333333333333333,8
SD,2020-03-14,8.0,8
SD,2020-03-15,8.333333333333334,9
SD,2020-03-16,8.666666666666666,9
SD,2020-03-17,9.333333333333334,10
SD,2020-03-18,10.0,11
SD,2020-03-19,10.666666666666666,11
SD,2020-03-20,11.0,11
SD,2020-03-21,12.0,14
SD,2020-03-22,13.0,14
SD,2020-03-23,14.666666666666666,16
SD,2020-03-24,16.666666666666668,20
SD,2020-03-25,19.0,21
TN,2020-03-13,11.333333333333334,18
TN,2020-03-14,15.0,18
TN,2020-03-15,35.666666666666664,71
TN,2020-03-16,53.333333333333336,71
TN,2020-03-17,64.66666666666667,52
TN,2020-03-18,65.66666666666667,74
TN,2020-03-19,68.33333333333333,79
TN,2020-03-20,102.33333333333333,154
TN,2020-03-21,155.33333333333334,233
TN,2020-03-22,252.66666666666666,371
TN,2020-03-23,349.3333333333333,444
TN,2020-03-24,448.0,529
TN,2020-03-25,556.0,695
TX,2020-03-13,20.333333333333332,27
TX,2020-03-14,25.0,27
TX,2020-03-15,37.0,57
TX,2020-03-16,52.0,72
TX,2020-03-17,71.33333333333333,85
TX,2020-03-18,89.0,110
TX,2020-03-19,122.66666666666667,173
TX,2020-03-20,181.0,260
TX,2020-03-21,275.6666666666667,394
TX,2020-03-22,411.6666666666667,581
TX,2020-03-23,513.3333333333334,565
TX,2020-03-24,579.3333333333334,592
TX,2020-03-25,662.6666666666666,831
UT,2020-03-13,3.3333333333333335,5
UT,2020-03-14,4.333333333333333,5
UT,2020-03-15,6.666666666666667,10
UT,2020-03-16,14.333333333333334,28
UT,2020-03-17,25.666666666666668,39
UT,2020-03-18,39.333333333333336,51
UT,2020-03-19,47.0,51
UT,2020-03-20,60.666666666666664,80
UT,2020-03-21,69.66666666666667,78
UT,2020-03-22,98.0,136
UT,2020-03-23,125.33333333333333,162
UT,2020-03-24,181.33333333333334,246
UT,2020-03-25,231.0,285
VA,2020-03-13,18.0,17
VA,2020-03-14,21.333333333333332,17
VA,2020-03-15,25.0,41
VA,2020-03-16,34.333333333333336,45
VA,2020-03-17,45.0,49
VA,2020-03-18,53.666666666666664,67
VA,2020-03-19,64.33333333333333,77
VA,2020-03-20,81.0,99
VA,2020-03-21,99.33333333333333,122
VA,2020-03-22,125.66666666666667,156
VA,2020-03-23,148.66666666666666,168
VA,2020-03-24,165.66666666666666,173
VA,2020-03-25,192.66666666666666,237
VT,2020-03-13,1.6666666666666667,2
VT,2020-03-14,2.0,2
VT,2020-03-15,5.666666666666667,13
VT,2020-03-16,9.333333333333334,13
VT,2020-03-17,12.666666666666666,12
VT,2020-03-18,12.333333333333334,12
VT,2020-03-19,14.0,18
VT,2020-03-20,17.333333333333332,22
VT,2020-03-21,23.0,29
VT,2020-03-22,26.666666666666668,29
VT,2020-03-23,34.0,44
VT,2020-03-24,46.0,65
VT,2020-03-25,64.0,83
WA,2020-01-25,1.0,1
WA,2020-01-26,1.0,1
WA,2020-01-27,1.0,1
WA,2020-01-28,1.0,1
WA,2020-01-29,1.0,1
WA,2020-01-30,1.0,1
WA,2020-01-31,1.0,1
WA,2020-02-01,1.0,1
WA,2020-02-02,1.0,1
WA,2020-02-03,1.0,1
WA,2020-02-04,1.0,1
WA,2020-02-05,1.0,1
WA,2020-02-06,1.0,1
WA,2020-02-07,1.0,1
WA,2020-02-08,1.0,1
WA,2020-02-09,1.0,1
WA,2020-02-10,1.0,1
WA,2020-02-11,1.0,1
WA,2020-02-12,1.0,1
WA,2020-02-13,1.0,1
WA,2020-02-14,1.0,1
WA,2020-02-15,1.0,1
WA,2020-02-16,1.0,1
WA,2020-02-17,1.0,1
WA,2020-02-18,1.0,1
WA,2020-02-19,1.0,1
WA,2020-02-20,1.0,1
WA,2020-02-21,1.0,1
WA,2020-02-22,1.0,1
WA,2020-02-23,1.0,1
WA,2020-02-24,1.0,1
WA,2020-02-25,1.0,1
