0,4
1,1
2,6
3,3
4,3
5,8
6,4
7,8
8,10
9,7
10,4
11,4
12,8
13,2
14,2
15,3
16,5
17,7
18,2
19,4
20,1
21,60
22,3
23,1
24,8
25,41
26,7
27,7
28,3
29,2
30,1
31,1
32,6
33,23
34,7
35,4
36,1
37,4
38,14
39,43
40,6
41,2
42,3
43,1
44,6
45,5
46,14
47,5
48,4
49,2
50,5
51,3
52,7
53,6
54,4
55,4
56,8
57,6
58,3
59,7
60,5
61,2
62,3
63,3
64,2
65,4
66,4
67,1
68,3
69,1
70,9
71,2
72,3
73,45
74,3
75,2
76,15
77,7
78,5
79,4
80,2
81,10
82,5
83,3
84,3
85,3
86,3
87,41
88,3
89,5
90,2
91,1
92,7
93,3
94,3
95,36
96,42
97,4
98,5
99,5
100,2
101,9
102,10
103,3
104,5
105,2
106,2
107,1
108,2
109,4
110,3
111,8
112,2
113,2
114,45
115,6
116,1
117,8
118,29
119,1
120,15
121,14
122,3
123,3
124,2
125,3
126,3
127,10
128,3
129,2
130,6
131,16
132,3
133,7
134,5
135,3
136,15
137,59
138,7
139,6
140,4
141,9
142,3
143,7
144,3
145,7
146,7
147,2
148,1
149,25
150,2
151,5
152,16
153,1
154,1
155,2
156,1
157,6
158,14
159,35
160,1
161,56
162,4
163,56
164,1
165,6
166,1
167,2
168,6
169,49
170,5
171,2
172,4
173,3
174,12
175,1
176,3
177,4
178,1
179,1
180,3
181,2
182,4
183,3
184,2
185,1
186,2
187,2
188,10
189,3
190,16
191,12
192,5
193,2
194,4
195,4
196,59
197,3
198,8
199,2
200,9
201,4
202,2
203,3
204,3
205,3
206,3
207,4
208,3
209,1
210,7
211,2
212,2
213,59
214,4
215,2
216,2
217,8
218,2
219,3
220,3
221,3
222,9
223,28
224,6
225,4
226,2
227,2
228,3
229,6
230,11
231,2
232,6
233,29
234,2
235,1
236,2
237,3
238,3
239,5
240,2
241,35
242,4
243,1
244,3
245,5
246,2
247,3
248,6
249,3
250,4
251,3
252,58
253,4
254,1
255,2
256,4
257,2
258,8
259,7
260,3
261,3
262,58
263,2
264,4
265,3
266,8
267,4
268,1
269,2
270,3
271,18
272,3
273,9
274,7
275,2
276,3
277,3
278,4
279,4
280,5
281,4
282,5
283,1
284,3
285,4
286,2
287,13
288,38
289,9
290,5
291,3
292,5
293,1
294,1
295,58
296,3
297,10
298,11
299,2
300,4
301,13
302,3
303,1
304,1
305,9
306,16
307,2
308,3
309,2
310,3
311,2
312,1
313,5
314,4
315,2
316,3
317,43
318,2
319,3
320,6
321,3
322,4
323,4
324,5
325,22
326,3
327,4
328,2
329,54
330,3
331,3
332,7
333,19
334,5
335,1
336,8
337,10
338,1
339,5
340,4
341,10
342,2
343,4
344,17
345,17
346,2
347,5
348,1
349,17
350,60
351,2
352,57
353,6
354,5
355,8
356,5
357,55
358,16
359,1
360,4
361,4
362,5
363,1
364,15
365,58
366,6
367,4
368,20
369,13
370,2
371,2
372,6
373,2
374,7
375,4
376,63
377,2
378,4
379,3
380,1
381,2
382,3
383,4
384,3
385,16
386,18
387,2
388,6
389,2
390,3
391,3
392,4
393,1
394,4
395,4
396,2
397,4
398,6
399,4
400,3
401,9
402,3
403,2
404,4
405,1
406,8
407,57
408,6
409,23
410,2
411,3
412,3
413,2
414,7
415,2
416,5
417,9
418,2
419,5
420,3
421,21
422,1
423,4
424,2
425,1
426,3
427,44
428,6
429,1
430,30
431,29
432,3
433,2
434,4
435,2
436,3
437,16
438,1
439,5
440,3
441,3
442,52
443,1
444,7
445,7
446,4
447,1
448,5
449,13
450,6
451,3
452,8
453,60
454,2
455,2
456,7
457,3
458,5
459,3
460,5
461,2
462,14
463,3
464,3
465,7
466,8
467,5
468,5
469,6
470,4
471,25
472,9
473,1
474,2
475,3
476,2
477,3
478,5
479,7
480,3
481,2
482,2
483,25
484,4
485,8
486,3
487,7
488,1
489,4
490,6
491,4
492,8
493,7
494,2
495,4
496,2
497,7
498,2
499,1
500,1
501,1
502,5
503,2
504,6
505,3
506,44
507,4
508,10
509,3
510,2
511,4
512,1
513,2
514,19
515,1
516,4
517,6
518,3
519,13
520,10
521,3
522,5
523,36
524,3
525,18
526,7
527,2
528,4
529,32
530,5
531,3
532,26
533,4
534,7
